Status,Genres,Favorites,Popularity,Score,Chapters,Volumes,Ranked,link,Members,Authors,Serialization,Type,Published,name
 Finished,"['Comedy', 'Romance', 'School', 'Slice of Life']", 1, #20512," 7.75, "," 22
	"," 5
	", #28072,http://myanimelist.net/manga/54653/1_x_10_Fujimiya_Tokiko_wa_Natsukanai, 57,"['Szki, Daiske', 'Panda']","
		None", Novel," Sep  19, 2009 to Feb  19, 2011",1 x 10 Fujimiya Tokiko wa Natsukanai 
 Finished,"
	  ", 1, #21452," 5.00, "," 3
	"," 1
	", #34366,http://myanimelist.net/manga/14524/1_2_3_GO!!, 50,"['Fjiomi, Karen']",Ichibansuki, Manga," Sep  19, 1995 to Jul  24, 1996","1, 2, 3 GO!! "
 Finished,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Harem', 'Seinen']", 0, #18084," 5.67, "," 25
	"," 5
	", #27439,http://myanimelist.net/manga/58137/1+2=Paradise, 83,"['Kamimra, Smiko']",Shounen Magazine (Monthly), Manga, 1988 to 1990,1+2=Paradise 
 Finished,"['Comedy', 'Romance', 'Sports', 'Seinen']", 16, #4945," 7.45, "," 37
	"," 4
	", #4553,http://myanimelist.net/manga/844/1_Pound_no_Fukuin," 1,001","['Takahashi, Rmiko']",Young Sunday (Weekly), Manga," Jul  24, 1987 to Dec  21, 2006",1 Pound no Fukuin 
 Finished,"['Fantasy', 'Shonen', 'Sper Power']", 0, #21511," 9.00, "," 11
	"," 2
	", #27737,http://myanimelist.net/manga/56473/1-gatsu_no_Pluvi%C3%B4se, 49,"['Hoshikz, Nanago']",Super Dash & Go!, Manga," Oct  25, 2011 to Aug  10, 2013",1-gatsu no Pluviôse 
 Finished,"
	  ", 0, #33682," 0.00, "," Unknown
	"," 3
	", #18054,http://myanimelist.net/manga/90102/1-2_Fan_Club, 9,"['Krobchi, Kashiko']",Comic Rex, Manga," Sep  27, 2013 to Mar  27, 2015",1-2 Fan Club 
 Finished,"['School', 'Shojo', 'Spernatral']", 2, #18400," 5.30, "," 6
	"," 1
	", #35885,http://myanimelist.net/manga/4826/1+1=0, 80,"['Kwata, Noriko']",Bessatsu Hana to Yume, Manga," Jan  8, 1999 to Nov  8, 1999",1+1=0 
 Finished,"
	  ", 2, #3337," 7.27, "," 6
	"," 1
	", #6557,http://myanimelist.net/manga/21227/1-en_no_Otoko," 1,489","['Monden, Akiko']",Hanaoto DX, Manga, 2009 to 2010,1-en no Otoko 
 Finished,"['Romance', 'Shojo', 'Gender Bender']", 9, #2663," 7.09, "," 6
	"," 1
	", #9029,http://myanimelist.net/manga/31987/1_2_L%E2%99%A1VE!," 1,885",['Kayor'],Sho-Comi, Manga," Jul  20, 2010 to Jan  6, 2011",1/2 L♡VE! 
 Finished,"['Comedy', 'School']", 0, #10874," 7.22, "," 1
	"," Unknown
	", #7197,http://myanimelist.net/manga/47637/1-nen_C-gumi_Yoshida_Kakari, 304,"['Sakrai, Shiori']",Comic ZERO-SUM, One-shot," Jan  28, 2011",1-nen C-gumi Yoshida Kakari 
 Finished,"
	  ", 0, #22737," 7.14, "," 1
	"," Unknown
	", #20971,http://myanimelist.net/manga/83937/1-nenburi_no, 41,"['Shoji, Aym']",Comic LO, One-shot," Sep  20, 2014",1-nenburi no 
 Finished,"['Romance', 'School', 'Shojo', 'Sper Power', 'Vampire', 'Spernatral']", 8, #5185," 7.03, "," 24
	"," 6
	", #9831,http://myanimelist.net/manga/20923/1-nen_5-kumi_Ikimonogakari, 938,"['Fkshima, Harka']",Nakayoshi, Manga," Oct  17, 2009 to Dec  28, 2012",1-nen 5-kumi Ikimonogakari 
 Finished,"
	  ", 0, #7129," 6.54, "," 4
	"," 1
	", #15269,http://myanimelist.net/manga/10709/1.8m%C2%B2_no_Himegoto, 619,"['Ozaki, Ira']",Betsucomi, Manga, 2006,1.8m² no Himegoto 
 Finished,"['Comedy', 'Shojo', 'Josei']", 2, #14106," 7.08, "," 19
	"," 3
	", #9197,http://myanimelist.net/manga/15071/1_2, 168,['KIKI'],Mystery Bonita, Manga, 2004 to 2008,1/2 
 Finished,"
	  ", 3, #10046," 6.54, "," 5
	"," 1
	", #15277,http://myanimelist.net/manga/6806/1_2_Fairy!, 355,"['Okano, Fmika']","
		None", Manga, 1985 to ?,1/2 Fairy! 
 Finished,"['Romance', 'Shonen', 'Sports']", 6, #5363," 7.77, "," Unknown
	"," 9
	", #1817,http://myanimelist.net/manga/34209/1_11:_Juuichi_Bun_no_Ichi, 899,"['Nakamra, Takatoshi']",Jump SQ, Manga," May  19, 2010 to Jun  4, 2014",1/11: Juuichi Bun no Ichi 
 Finished,"['Drama', 'Romance', 'Slice of Life', 'Josei']", 1, #17191," 7.33, "," Unknown
	"," 14
	", #30950,http://myanimelist.net/manga/29377/1_2_no_Ringo, 97,"['Koyama, Ykari']",Kiss, Manga," Oct  13, 2005 to Jul  13, 2009",1/2 no Ringo 
 Finished,"['Romance', 'Shojo']", 3, #13036," 7.33, "," Unknown
	"," 4
	", #5761,http://myanimelist.net/manga/17591/1_2_Series, 204,"['Miyawaki, Ykino']","
		None", Manga, 2000 to 2003,1/2 Series 
 Finished,"
	  ", 1, #23723," 10.00, "," Unknown
	"," 3
	", #25956,http://myanimelist.net/manga/64111/1_2_Undead_Series, 36,"['kyo', 'Sasahara, Shio']","
		None", Novel," Feb  28, 2011 to Jun  30, 2011",1/2 Undead Series 
 Finished,"['Romance', 'Shojo', 'Slice of Life']", 12, #1805," 7.18, "," 5
	"," 1
	", #7788,http://myanimelist.net/manga/15737/1_3_Romantica," 2,695","['Shibano, Yka']",Betsucomi, Manga, 2008 to 2009,1/3 Romantica 
 Finished,"['Yaoi', 'Dojinshi']", 0, #9931," 7.17, "," 1
	"," 1
	", #7901,http://myanimelist.net/manga/33997/1_4, 362,['Itto'],"
		None", Doujinshi," Oct  8, 2011",1/4 
 Finished,"['Hentai', 'Romance', 'Spernatral']", 2, #10361," 6.60, "," 5
	"," 1
	", #14730,http://myanimelist.net/manga/39927/1_8_Kanojo, 335,"['Sanshok, Amido.']","
		None", Manga," Nov  15, 2011",1/8 Kanojo 
 Publishing,"['Romance', 'Josei']", 0, #21871," 0.00, "," Unknown
	"," Unknown
	", #32849,http://myanimelist.net/manga/20791/1_4%C3%971_2%C2%AE, 47,"['Shinohara, Udo']",Nemuki, Manga, Nov 2005 to ?,1/4×1/2® 
 Finished,"
	  ", 1, #13988," 7.10, "," 3
	"," 1
	", #8940,http://myanimelist.net/manga/10895/1_6_Jump!, 172,"['Satski, Mikiko']",ChuChu, Manga, 2008,1/6 Jump! 
 Finished,"
	  ", 2, #16778," 5.72, "," 9
	"," 1
	", #17598,http://myanimelist.net/manga/17645/10_After, 104,"['Sanbn, Kyoden']","
		None", Manga," Dec  20, 1996",10 After 
 Publishing,"['Drama', 'Romance', 'Yaoi']", 9, #4643," 8.03, "," Unknown
	"," Unknown
	", #887,http://myanimelist.net/manga/37565/10_Dance," 1,070","['Inoe, Sato']",Reijin, Manga, 2012 to ?,10 Dance 
 Finished,"
	  ", 2, #14366," 6.52, "," 9
	"," 1
	", #15395,http://myanimelist.net/manga/27975/10_Nenbun_Okasu, 160,"['Itaba, Hiroshi']",Comic Mujin, Manga," Aug  4, 2007 to Nov  24, 2008",10 Nenbun Okasu 
 Finished,"
	  No genres have been added yet.", 0, #22215," 4.67, "," Unknown
	"," 1
	", #35477,http://myanimelist.net/manga/8130/10_Nenme_no_Koi, 45,"['Nanao, Hidoka']","
		None", Manga, Not available,10 Nenme no Koi 
 Finished,"['Comedy', 'Drama', 'Romance', 'Shojo', 'Josei']", 1, #10965," 6.57, "," 78
	"," 7
	", #15022,http://myanimelist.net/manga/5707/10_20_and_30, 300,"['Kang, Morim']","
		None", Manhwa," Feb  15, 2007 to Jun  23, 2009","10, 20, and 30 "
 Publishing,"['Mystery', 'Shonen']", 1, #17714," 8.33, "," Unknown
	"," Unknown
	", #33758,http://myanimelist.net/manga/17293/10-4, 89,"['Hashiba, Maki']",GFantasy, Manga, 2009 to ?,10-4 
 Finished,"['Action', 'Comedy', 'Mystery', 'Drama', 'Shojo']", 0, #18986," 7.33, "," 7
	"," 2
	", #35771,http://myanimelist.net/manga/5953/Z, 73,"['Aoike, Yasko']",Hana to Yume, Manga, Aug 1979 to 1985,Z 
 Publishing,"['Action', 'Drama', 'Fantasy', 'Shojo', 'Sper Power', 'Spernatral', 'Psychological']", 696, #296," 8.22, "," 158
	"," 18
	", #491,http://myanimelist.net/manga/27/X," 11,908",['CLAMP'],Asuka (Monthly), Manga," Mar  24, 1992 to Mar  24, 2003",X 
 Publishing,"['Comedy', 'Ecchi', 'Romance', 'School', 'Slice of Life']", 0, #24187," 5.00, "," Unknown
	"," Unknown
	", #27806,http://myanimelist.net/manga/56135/10-sai_no_Hoken_Taiiku, 34,"['Takami, Akio', 'Takei, Toka']","
		None", Novel," Jun  19, 2010 to ?",10-sai no Hoken Taiiku 
 Finished,"['Yaoi', 'Slice of Life']", 0, #20256," 8.00, "," 7
	"," 1
	", #20541,http://myanimelist.net/manga/85621/10-nen_Tatte_mo_Aishiteru, 59,['Rino'],Daria, Manga," Jun  22, 2010 to Dec  22, 2011",10-nen Tatte mo Aishiteru? 
 Finished,"
	  ", 1, #22917," 5.47, "," Unknown
	"," 1
	", #20121,http://myanimelist.net/manga/86477/10-okuen_Tousen_Shitanode_Tanetsuke_Shimin-ken_wo_Katte_Mita., 40,"['Akiba, Mao']","
		None", Manga," Jun  25, 2014 to Aug  25, 2014","10-okuen Tousen Shitanode, Tanetsuke Shimin-ken wo Katte Mita. "
 Publishing,"
	  ", 13, #3539," 7.86, "," Unknown
	"," Unknown
	", #1403,http://myanimelist.net/manga/58211/Zai_x_10," 1,405","['Yamachi, Yasnob']",Gangan Online, Manga," Aug  29, 2013 to ?",Zai x 10 
 Finished,"['Action', 'Mecha', 'Shonen', 'Sper Power']", 0, #16131," 6.93, "," 30
	"," 5
	", #11193,http://myanimelist.net/manga/7695/Z_Mazinger, 117,"['Nagai, Go']",Shounen Magazine (Weekly), Manga, Sep 1998 to Nov 2000,Z Mazinger 
 Finished,"
	  ", 0, #32077," 0.00, "," Unknown
	"," 1
	", #22291,http://myanimelist.net/manga/78613/X_Boy, 12,"['Ebihara, Ryo']",Margaret, Manga," Dec  31, 2000",X Boy 
 Finished,"['Hentai', 'School', 'Gender Bender']", 1, #33444," 9.00, "," Unknown
	"," 3
	", #24409,http://myanimelist.net/manga/70615/X_Change, 10,"['Shimiz, Mariko', 'Crowd', 'Akazaki, Yasma']","
		None", Novel," Mar  20, 1998 to Nov  23, 2004",X Change 
 Finished,"['Comedy', 'Spernatral']", 0, #30963," 0.00, "," Unknown
	"," 3
	", #22974,http://myanimelist.net/manga/76075/Z_Boys___Princess, 14,"['Tagchi, Sennendo', 'Rgo']","
		None", Novel," Feb  28, 2011 to Aug  29, 2011",Z Boys / Princess 
 Finished,"['Action', 'Comedy', 'Romance', 'Shonen']", 0, #28298," 0.00, "," Unknown
	"," 1
	", #27650,http://myanimelist.net/manga/57011/Zaito_BxB, 20,"['pn2', 'Ootani, Hisa']","
		None", Novel," Jul  20, 2011",Zaito BxB 
 Finished,"
	  ", 0, #35112," 0.00, "," Unknown
	"," 1
	", #23607,http://myanimelist.net/manga/73803/Zaiakukan_Onegai..._Konna_Sugata_Minaide, 7,"['Lne', 'Kawai, Masaki', 'Saida, Mitsaki']","
		None", Novel," Dec  1, 2001","Zaiakukan ""Onegai... Konna Sugata Minaide"" "
 Finished,"['Comedy', 'Sci-Fi', 'Seinen', 'Gender Bender']", 0, #14353," 6.64, "," 6
	"," 1
	", #14353,http://myanimelist.net/manga/66785/100, 160,"['Takabatake, Enaga']",Super Dash & Go!, Manga," Apr  25, 2012 to Oct  15, 2012",100 
 Finished,"['Drama', 'Yaoi', 'Dojinshi']", 5, #3570," 7.64, "," 8
	"," 1
	", #2646,http://myanimelist.net/manga/8790/U_Dont_Know_Me," 1,394","['Na, Yeri']","
		None", Manhwa, 2008,U Don't Know Me 
 Finished,"['Hentai', 'School', 'Dojinshi']", 0, #29350," 7.00, "," Unknown
	"," 4
	", #19108,http://myanimelist.net/manga/88170/y, 17,"['Kishi, Kaisei']","
		None", Doujinshi," Mar  1, 2009 to Nov  1, 2013",y 
 Finished,"['Comedy', 'Fantasy', 'Romance']", 0, #31656," 0.00, "," Unknown
	"," 3
	", #26024,http://myanimelist.net/manga/63877/X_no_Maou, 13,"['Ito, Kohei', 'Bankok, Ayya']","
		None", Novel," Jul  24, 2009 to Nov  25, 2010",X no Maou 
 Finished,"['Comedy', 'Slice of Life']", 0, #26714," 7.83, "," 7
	"," 1
	", #34526,http://myanimelist.net/manga/13508/X_Diary, 25,['toma'],"
		None", Manhwa," Jun  20, 2006 to Jun  12, 2007",X Diary 
 Finished,"
	  ", 5, #2660," 6.74, "," 1
	"," Unknown
	", #13461,http://myanimelist.net/manga/3248/100_Days_Dream," 1,887",['Sa-Sook'],Wink, One-shot," Jul  15, 2005",100 Days Dream 
 Finished,"['Drama', 'Sci-Fi', 'Seinen']", 0, #21148," 7.54, "," 14
	"," 1
	", #30240,http://myanimelist.net/manga/35965/X_Saibou_wa_Fukaku_Iki_wo_Suru, 52,"['Yamaaki, Doton']","
		None", Manga, Not available,X Saibou wa Fukaku Iki wo Suru 
 Finished,"['Action', 'Romance', 'School', 'Shonen']", 6, #5206," 7.47, "," 31
	"," 6
	", #4186,http://myanimelist.net/manga/8071/W_Change!!, 933,"['Matsba, Hiro']",Comic Blade, Manga, 2006,W Change!! 
 Finished,"
	  ", 0, #22680," 5.47, "," 1
	"," Unknown
	", #33091,http://myanimelist.net/manga/20100/Xmas_Heart, 42,"['Mrakami, Maki']","
		None", One-shot, Not available,X'mas Heart 
 Finished,"['Romance', 'Shojo']", 0, #17716," 6.55, "," 5
	"," 1
	", #15186,http://myanimelist.net/manga/14971/V_-_Egao_no_Tame_ni, 89,"['Takase, Yka']",Shogakukan Books, Manga, 1997,V - Egao no Tame ni 
 Finished,"['Comedy', 'Drama', 'Romance', 'School', 'Spernatral']", 0, #28270," 0.00, "," 12
	"," 3
	", #26685,http://myanimelist.net/manga/61489/T_to_Pantsu_to_Ii_Hanashi, 20,"['Maeda, Riso', 'Motomra, Taishi']","
		None", Novel," Oct  25, 2011 to Nov  22, 2012",T to Pantsu to Ii Hanashi 
 Finished,"
	  ", 0, #29879," 10.00, "," Unknown
	"," 1
	", #22461,http://myanimelist.net/manga/77933/Zako_Kamisama, 16,"['Torimra, Iko', 'Tskigami, Lna']","
		None", Novel," Sep  30, 2010",Zako Kamisama 
 Finished,"['Comedy', 'Shojo', 'Slice of Life']", 0, #24756," 8.25, "," Unknown
	"," 3
	", #33168,http://myanimelist.net/manga/19868/Zakkyo_Jidai, 32,"['Himro, Saeko', 'Yamachi, Naomi']",Hana to Yume, Manga, 1986 to 1988,Zakkyo Jidai 
 Finished,"['Hentai', 'Harem']", 0, #21945," 6.75, "," Unknown
	"," 1
	", #25181,http://myanimelist.net/manga/67365/100_no_Yome:_Ojou-sama_no_Shoujo_Butai_vs_Ohime-sama_no_Maid-Gun, 46,"['Hinata, Momo', 'Tskino, Otogi']","
		None", Novel," Nov  21, 2012",100 no Yome: Ojou-sama no Shoujo Butai vs Ohime-sama no Maid-Gun 
 Finished,"['Action', 'Adventre', 'Drama', 'Shojo']", 1, #6457," 7.31, "," 20
	"," 3
	", #6044,http://myanimelist.net/manga/12067/Zanbara!, 710,"['Katagiri, Ikmi']",Zero-Sum WARD, Manga," Nov  16, 2007 to Jan  15, 2011",Zanbara! 
 Finished,"['Mystery', 'Shonen']", 2, #1915," 6.65, "," 1
	"," Unknown
	", #14314,http://myanimelist.net/manga/14810/100_Dollar_wa_Yasu_Sugiru," 2,549","['Yamamoto, Kazne']",Akamaru Jump, One-shot, 2008,100 Dollar wa Yasu Sugiru 
 Finished,"['Drama', 'Romance', 'Sci-Fi', 'Shojo']", 1, #14034," 6.91, "," 7
	"," 1
	", #11396,http://myanimelist.net/manga/37835/100_Man_Pound_no_Ai, 170,"['Shimiz, Reiko']","
		None", Manga, Not available,100 Man Pound no Ai 
 Publishing,"['Mystery', 'Ecchi', 'Horror', 'Spernatral', 'Seinen']", 0, #30563," 6.00, "," Unknown
	"," Unknown
	", #26010,http://myanimelist.net/manga/63941/Y_no_Rakuen, 15,"['Tstsi, Koske', 'Takahashi, Naoki']",Young Magazine (Monthly), Manga," Nov  13, 2013 to ?",Y no Rakuen 
 Finished,"
	  ", 0, #25402," 6.00, "," 1
	"," Unknown
	", #28420,http://myanimelist.net/manga/53027/Zan_Natsu, 29,['Nagayori'],Comic Kairaku-ten Beast, One-shot," Aug  11, 2012",Zan Natsu 
 Finished,"['Hentai', 'Horror']", 2, #7692," 5.93, "," 11
	"," 1
	", #17446,http://myanimelist.net/manga/38423/Y_Shiki_Kaitai_Shinsho, 555,"['Uziga, Waita']","
		None", Manga," Nov  1, 2002 to May  21, 2005",Y Shiki Kaitai Shinsho 
 Finished,"['Action', 'Adventre', 'Comedy', 'Shonen']", 4, #5340," 6.94, "," 18
	"," 2
	", #11077,http://myanimelist.net/manga/1570/Zan, 903,"['Sgita, Naoya']",Shounen Jump (Weekly), Manga, 2006 to 2007,Zan 
 Finished,"['Adventre', 'Historical', 'Shojo']", 0, #17400," 6.74, "," 11
	"," 2
	", #33290,http://myanimelist.net/manga/19504/Ya-ya-yah_ga_Yattekuru!, 94,"['Kitazawa, Kaor']",Ribon Magazine, Manga," Jul  2, 2005 to Apr  3, 2006",Ya-ya-yah ga Yattekuru! 
 Finished,"['Hentai', 'School']", 0, #31906," 5.25, "," 1
	"," Unknown
	", #19109,http://myanimelist.net/manga/88169/y+%5B08:15-09:37(Mon)%5D_Imakara_Atashi..._%E2%97%8F%E2%97%8Fsaremasu._Anthurium_Without_Dying_Forever..., 12,"['Kishi, Kaisei']",Comic Anthurium, One-shot," Jan  10, 2015","y+[08:15-09:37(Mon)] Imakara Atashi..., ●●saremasu. Anthurium Without Dying Forever... "
 Finished,"['Comedy', 'Sci-Fi']", 0, #30313," 0.00, "," Unknown
	"," 1
	", #20551,http://myanimelist.net/manga/85555/U_wa_Uchuu_Yabai_no_U!_Sekai_ga_Horobu_5-byoumae, 15,"['Miyazawa, Iori', 'Mof']","
		None", Novel," Dec  20, 2013",U wa Uchuu Yabai no U! Sekai ga Horobu 5-byoumae 
 Finished,"['Mystery', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi', 'Spernatral', 'Josei']", 1, #14173," 7.30, "," 8
	"," 1
	", #6199,http://myanimelist.net/manga/9170/U_wa_Uchuusen_no_U, 166,"['Hagio, Moto', 'Bradbry, Ray']",Margaret, Manga, 1977 to 1978,U wa Uchuusen no U 
 Finished,"['Adventre', 'Fantasy', 'Horror']", 0, #17892," 5.65, "," Unknown
	"," 1
	", #30876,http://myanimelist.net/manga/29815/Ya_San, 86,"['Wang, Bang', 'Hang, Jia Wei']","
		None", Manhua, 2009,Ya San 
 Finished,"['Historical', 'Shojo', 'Spernatral']", 0, #28819," 7.33, "," 4
	"," 1
	", #31848,http://myanimelist.net/manga/24005/Ya-Sha, 19,"['Ayase, Yriko']",LaLa, Manga, Apr 1991,Ya-Sha 
 Finished,"['Drama', 'Romance', 'Josei']", 1, #18125," 6.72, "," Unknown
	"," 2
	", #33708,http://myanimelist.net/manga/17495/U-so-tsu-ki%E2%98%85Knight, 83,"['Miztani, Kyoko']",Petit Comic, Manga, 2007 to 2008,U-so-tsu-ki★Knight 
 Finished,"['Hentai', 'Spernatral', 'Dojinshi']", 0, #19370," 6.33, "," 1
	"," 1
	", #16520,http://myanimelist.net/manga/24511/X-Game_Nekokino:_Rage, 68,"['Nixinamo, Lens']","
		None", Doujinshi," Dec  31, 2009",X-Game Nekokino: Rage 
 Finished,"['Ecchi', 'Seinen']", 0, #28425," 6.00, "," Unknown
	"," 12
	", #32988,http://myanimelist.net/manga/20413/U.ta.hi.me, 20,"['Shimiz, Toshimits']",Young King OURs GH, Manga, Nov 1992 to Jul 1997,U.ta.hi.me 
 Finished,"['Romance', 'Shojo']", 0, #21197," 6.33, "," Unknown
	"," 6
	", #35897,http://myanimelist.net/manga/4794/U%E3%83%BBBU_U%E3%83%BBBU, 52,"['Sgi, Emiko']","
		None", Manga, Not available,U・BU U・BU 
 Finished,"['Romance', 'School', 'Yaoi']", 0, #13226," 5.80, "," 1
	"," Unknown
	", #17549,http://myanimelist.net/manga/8316/Xmas_wa_Kirai, 197,"['Atsko, Ryo']","
		None", One-shot, Not available,X'mas wa Kirai 
 Publishing,"['Horror', 'Seinen']", 0, #30260," 6.00, "," Unknown
	"," Unknown
	", #18839,http://myanimelist.net/manga/88670/U12, 15,"['Yamikawa, Ko']",good! Afternoon, Manga," Apr  7, 2015 to ?",U12 
 Finished,"['Drama', 'School', 'Shojo', 'Psychological']", 59, #1484," 7.80, "," 10
	"," 2
	", #1697,http://myanimelist.net/manga/576/X-Day," 3,237","['Mizshiro, Setona']",Princess, Manga, Mar 2002 to Dec 2002,X-Day 
 Finished,"['Action', 'Sci-Fi', 'Seinen']", 1, #10580," 6.87, "," 33
	"," 3
	", #11957,http://myanimelist.net/manga/6410/X-Gene, 322,"['Kakizaki, Masasmi', 'Fmizki, Kentaro']",Young Sunday (Weekly), Manga," Oct  11, 2001 to Jun  13, 2002",X-Gene 
 Finished,"['Hentai', 'School']", 0, #34082," 3.00, "," Unknown
	"," 1
	", #25394,http://myanimelist.net/manga/66551/W_Seitokaichou_Docchi_wo_Erabu_no!, 9,"['Aohashi, Ytaka', 'Marchan.']","
		None", Novel," Sep  20, 2008",W Seitokaichou Docchi wo Erabu no!? 
 Finished,"
	  ", 0, #15569," 6.37, "," 11
	"," 1
	", #16335,http://myanimelist.net/manga/31669/W_Dessert, 129,"['Nakani, Oishi']",Comic Unreal, Manga," Dec  1, 2009 to Mar  12, 2011",W Dessert 
 Finished,"['Ecchi', 'Seinen']", 0, #21581," 7.00, "," Unknown
	"," 6
	", #32538,http://myanimelist.net/manga/21745/W_Name, 49,"['Hatski, Kyo']",Young Magazine (Weekly), Manga," Apr  19, 2005 to Nov  19, 2007",W Name 
 Finished,"
	  ", 0, #31640," 7.00, "," 7
	"," 1
	", #25785,http://myanimelist.net/manga/64905/W_Princess_to_Love_Dousei!, 13,"['Tinkle', 'Ryo, Uehara']","
		None", Novel," Nov  20, 2009",W Princess to Love Dousei! 
 Finished,"
	  ", 0, #32245," 7.00, "," 8
	"," 1
	", #25777,http://myanimelist.net/manga/64933/W_Maid_de_Seitokai!, 12,"['Tinkle', 'Ryo, Uehara']","
		None", Novel," Nov  20, 2008",W Maid de Seitokai! 
 Finished,"['Hentai', 'Harem']", 0, #33260," 0.00, "," Unknown
	"," 1
	", #20497,http://myanimelist.net/manga/85807/W_Maid_no_Harem_Gohoushi!!_Anata_no_Seishori_wa_Watashitachi_ni_Omakase_Kudasai!, 10,"['Sakamoto, Neko', 'Takto']","
		None", Novel," Apr  10, 2015",W Maid no Harem Gohoushi!! Anata no Seishori wa Watashitachi ni Omakase Kudasai! 
 Publishing,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']", 3, #7441," 7.42, "," Unknown
	"," Unknown
	", #4662,http://myanimelist.net/manga/88537/T-Rex_na_Kanojo, 580,['Sanzo'],Gene pixiv, Manga," Oct  27, 2014 to ?",T-Rex na Kanojo 
 Finished,"['Action', 'Drama', 'Horror', 'Shojo', 'Spernatral']", 5, #17783," 8.05, "," 4
	"," 1
	", #34161,http://myanimelist.net/manga/15475/X-Day, 88,"['Tamra, Ymi']",Flower Comics Special, Manga, 1993,X-Day 
 Publishing,"['School', 'Seinen']", 0, #33710," 0.00, "," Unknown
	"," Unknown
	", #18555,http://myanimelist.net/manga/89232/T-sensei, 9,"['Yke, Moegi', 'T-sensei']",Comic Flapper, Manga," Nov  5, 2014 to ?",T-sensei 
 Finished,"['Mystery', 'Drama', 'School', 'Shonen', 'Sports']", 3, #4827," 7.54, "," Unknown
	"," 6
	", #3440,http://myanimelist.net/manga/19157/T.R.A.P.," 1,025","['Yamatoya, Eco']",Shounen Sunday, Manga," Mar  17, 2010 to Jun  3, 2011",T.R.A.P. 
 Finished,"
	  ", 0, #14802," 7.04, "," 1
	"," Unknown
	", #9648,http://myanimelist.net/manga/66983/Vacation, 147,['Napata'],Comic Kairaku-ten, One-shot," Jan  29, 2014",Vacation 
 Finished,"['Action', 'Adventre', 'Fantasy', 'Seinen']", 0, #24306," 7.50, "," 33
	"," 3
	", #34226,http://myanimelist.net/manga/15061/Vaelber_Saga, 34,"['Yki, Nobter']",Dragon Magazine, Manga," Jun  30, 1988 to Sep  30, 1994",Vaelber Saga 
 Finished,"['Comedy', 'Yri']", 0, #9066," 5.76, "," 1
	"," Unknown
	", #17583,http://myanimelist.net/manga/7495/V_Hunter, 427,"['Hayashiya, Shizr']","
		None", One-shot, Not available,V Hunter 
 Finished,"['Hentai', 'Gender Bender']", 3, #15716," 7.03, "," 49
	"," 5
	", #9855,http://myanimelist.net/manga/11999/T.S._I_Love_You..., 126,['The Amanoja 9'],"
		None", Manga, 2001 to ?,T.S. I Love You... 
 Finished,"['Comedy', 'Romance', 'Shojo']", 113, #1366," 8.14, "," 83
	"," 14
	", #643,http://myanimelist.net/manga/563/V.B._Rose," 3,476","['Hidaka, Banri']",Hana to Yume, Manga, Aug 2004 to May 2009,V.B. Rose 
 Finished,"['Drama', 'School', 'Yaoi']", 0, #6951," 6.54, "," 4
	"," 1
	", #15292,http://myanimelist.net/manga/2324/Zange, 642,"['Kano, Shiko']",Reijin, Manga, 1998 to 2008,Zange 
 Publishing,"['Action', 'Adventre', 'Drama', 'Historical', 'Samrai', 'Seinen']"," 3,647", #60," 8.91, "," Unknown
	"," Unknown
	", #17,http://myanimelist.net/manga/656/Vagabond," 32,379","['Inoe, Takehiko', 'Yoshikawa, Eiji']",Morning, Manga," Mar  23, 1999 to ?",Vagabond 
 Finished,"['Horror', 'Spernatral']", 3, #7115," 6.88, "," 45
	"," 10
	", #11812,http://myanimelist.net/manga/13259/Zangekikan, 621,"['Ochazke, Nori']","
		None", Manga, 1987 to 1993,Zangekikan 
 Finished,"['Action', 'Adventre', 'Demons', 'Historical', 'Samrai']", 0, #28009," 5.33, "," 1
	"," Unknown
	", #31815,http://myanimelist.net/manga/24078/Zaniku_no_Natsu, 21,"
		None",Comic Gamest, One-shot," Jun  15, 1996",Zaniku no Natsu 
 Finished,"
	  ", 0, #18798," 6.76, "," 1
	"," Unknown
	", #13198,http://myanimelist.net/manga/26004/Zangyou_de_Good_Job!, 75,"['Tatsnami, Yotok']",Comic Megastore H, One-shot," Jul  1, 2006",Zangyou de Good Job! 
 Finished,"
	  ", 0, #23566," 6.18, "," 1
	"," Unknown
	", #29511,http://myanimelist.net/manga/43251/Zangyou_Lover, 37,"['Shoji, Nigo']",Comic Kairaku-ten Beast, One-shot," Jan  4, 2012",Zangyou Lover 
 Finished,"['Hentai', 'Dojinshi']", 1, #15280," 6.99, "," 1
	"," 1
	", #10340,http://myanimelist.net/manga/69603/100_RT_Saretara_Ecchi_Shimasu, 135,['Henreader'],"
		None", Doujinshi," Dec  31, 2013",100 RT Saretara Ecchi Shimasu 
 Finished,"
	  ", 5, #8959," 6.89, "," 5
	"," 1
	", #11680,http://myanimelist.net/manga/12762/100_Fresh_Juice, 435,"['Tohjoh, Asami']","
		None", Doujinshi," Dec  30, 2000",100% Fresh Juice 
 Finished,"
	  ", 0, #13663," 7.09, "," 5
	"," 1
	", #9016,http://myanimelist.net/manga/43823/Yaba_Koi, 182,"['Miyasaka, Kaho']","
		None", Manga, Not available,Yaba Koi 
