Status,Genres,Favorites,Popularity,Score,Chapters,Volumes,Ranked,link,Members,Authors,Serialization,Type,Published,name
 Finished,"['Fantasy', 'Hentai', 'Harem', 'Spernatral']", 0, #29842," 0.00, "," Unknown
	"," 1
	", #21633,http://myanimelist.net/manga/81271/Ma%E2%98%86ko_Hunter:_Gokujou_Yome_Kari_Life, 16,"['CLOCKUP', 'Ori', 'Mnashi, Mjo', 'Mtsmi, Gen', 'wakako']","
		None", Novel," May  30, 2014",Ma☆ko Hunter: Gokujou Yome Kari Life 
 Finished,"
	  ", 0, #20151," 6.71, "," 1
	"," Unknown
	", #13686,http://myanimelist.net/manga/58971/Ma%E2%98%85Ku%E2%98%85Ra, 60,"['Shinji, Nora']",Comic Hotmilk, One-shot," Dec  1, 2012",Ma★Ku★Ra 
 Finished,"
	  ", 0, #32282," 7.00, "," 4
	"," 1
	", #26699,http://myanimelist.net/manga/61449/Nagareboshi_Paradise, 12,"['Mts, A-ko']",Ribon Original, Manga," Nov  20, 1985 to Aug  20, 1986",Nagareboshi Paradise 
 Finished,"['Comedy', 'Romance', 'Shojo']", 39, #1202," 7.93, "," 56
	"," 10
	", #1164,http://myanimelist.net/manga/24877/Nagareboshi_Lens," 3,896","['Mrata, May']",Ribon Magazine, Manga," Dec  28, 2010 to Jul  3, 2014",Nagareboshi Lens 
 Finished,"['Comedy', 'Shonen Ai']", 0, #21926," 5.77, "," 1
	"," Unknown
	", #22476,http://myanimelist.net/manga/77871/Nagareboshi_Okkochita, 46,"['Ogra, Mk']",HertZ, One-shot," Feb  1, 2011","Nagareboshi, Okkochita "
 Finished,"['Romance', 'Shonen Ai']", 2, #11588," 7.25, "," 34
	"," 2
	", #6779,http://myanimelist.net/manga/65659/Mabataki_no_Aida, 265,"['Sg, Nerko']",Manga Box, Manga," Dec  10, 2013 to Jul  29, 2014",Mabataki no Aida 
 Publishing,"['Adventre', 'Comedy', 'Ecchi', 'Fantasy', 'Romance', 'Sci-Fi', 'Shonen', 'Harem', 'Spernatral']", 150, #854," 7.76, "," Unknown
	"," Unknown
	", #1910,http://myanimelist.net/manga/1086/Nagasarete_Airantou," 5,118","['Fjishiro, Takeshi']",Shounen Gangan, Manga, Jan 2002 to ?,Nagasarete Airantou 
 Finished,"['Comedy', 'Romance', 'Yaoi', 'Slice of Life']", 0, #27429," 7.00, "," 6
	"," 1
	", #21464,http://myanimelist.net/manga/82059/Nagata-sensei_wa_Oyobigoshi, 22,"['Fjimoto, Harki']",Gush, Manga," Aug  25, 2011 to Oct  23, 2012",Nagata-sensei wa Oyobigoshi 
 Finished,"['Mystery', 'Historical', 'Romance', 'Shojo']", 0, #11248," 7.66, "," Unknown
	"," 6
	", #2507,http://myanimelist.net/manga/24014/Lady_Detective, 283,"['Lee, Gi Ha', 'Jeon, Hye Jin']",Issue, Manhwa," Apr  26, 2011 to Feb  19, 2013",Lady Detective 
 Publishing,"['Ecchi', 'Seinen']", 2, #5626," 7.13, "," Unknown
	"," Unknown
	", #8476,http://myanimelist.net/manga/17417/Ladies_versus_Butlers!, 841,"['Kozki, Tskasa', 'Nekomar, Nekoyashiki']",Dengeki Moeoh, Manga," Apr  26, 2008 to ?",Ladies versus Butlers! 
 Publishing,"['Action', 'Shonen']", 1, #10531," 6.88, "," Unknown
	"," Unknown
	", #11722,http://myanimelist.net/manga/88443/Lady_Justice, 324,"['Ogino, Ken']",Shounen Jump (Weekly), Manga," May  18, 2015 to ?",Lady Justice 
 Finished,"['Adventre', 'Comedy', 'Sci-Fi', 'Space', 'Seinen']", 0, #29657," 6.50, "," 20
	"," 1
	", #29886,http://myanimelist.net/manga/39587/Nagaruru_Rururuko, 17,"['Takemoto, Izmi']",Manga Time Kirara Carat, Manga," May  28, 2010 to Feb  28, 2012",Nagaruru Rururuko 
 Publishing,"['Action', 'Shonen']", 0, #28245," 4.00, "," Unknown
	"," Unknown
	", #25498,http://myanimelist.net/manga/66109/Lady_Cool, 20,"['Konomi, Takeshi']",Jump LIVE, Manga," Aug  1, 2013 to ?",Lady Cool 
 Finished,"['Comedy', 'Fantasy', 'Harem', 'Seinen']", 23, #3542," 7.55, "," 44
	"," 9
	", #3367,http://myanimelist.net/manga/11222/S-senjou_no_Tena," 1,404","['Mikabe, Sesna']",Manga Time Kirara Forward, Manga," Mar  23, 2006 to Aug  24, 2010",S-senjou no Tena 
 Finished,"['Comedy', 'Fantasy', 'Romance', 'School', 'Shonen', 'Spernatral']", 0, #30071," 7.00, "," 20
	"," 3
	", #27684,http://myanimelist.net/manga/56809/S-shiki_Communication, 16,"['Araki, Shin', 'Matszaki, Ytaka']","
		None", Novel," Mar  30, 2006 to Nov  30, 2006",S-shiki Communication 
 Finished,"
	  ", 0, #8352," 7.08, "," 5
	"," 1
	", #9256,http://myanimelist.net/manga/1692/S..Friends, 491,"['Chitose, Piyoko']","
		None", Manga, Not available,S..Friends 
 Finished,"
	  ", 3, #15706," 6.60, "," 9
	"," 1
	", #14751,http://myanimelist.net/manga/18948/Oboetate, 126,"['Feille, Mille']","
		None", Manga, 2009 to ?,Oboetate 
 Finished,"['Comedy', 'Ecchi', 'Romance', 'School']", 0, #32741," 0.00, "," Unknown
	"," 2
	", #23092,http://myanimelist.net/manga/75695/Oboetenai_kedo_Kimi_ga_Suki, 11,"['Nozomi, Tsbame', 'Higa, Tomoyas']","
		None", Novel," Apr  20, 2012 to Oct  20, 2012","Oboetenai kedo, Kimi ga Suki "
 Finished,"['Romance', 'Yaoi']", 0, #4818," 7.21, "," 7
	"," 1
	", #7344,http://myanimelist.net/manga/50235/Oboreru_Hitomi," 1,026","['Hino, Garas']",Gush, Manga," Nov  7, 2012 to Apr  7, 2014",Oboreru Hitomi 
 Finished,"['Drama', 'Romance', 'School', 'Shojo']", 82, #2780," 8.16, "," 64
	"," 17
	", #598,http://myanimelist.net/manga/10330/Oboreru_Knife," 1,806","['Asakra, George']",Bessatsu Friend, Manga," Oct  13, 2004 to Dec  13, 2013",Oboreru Knife 
 Finished,"
	  ", 0, #33453," 8.50, "," Unknown
	"," 1
	", #24733,http://myanimelist.net/manga/69217/Oboreru_Hodo_Itoshikute, 10,"['Kazki, Atsshi']",Dear+, Manga, 2010,Oboreru Hodo Itoshikute 
 Finished,"
	  ", 1, #6463," 7.41, "," 7
	"," 1
	", #4728,http://myanimelist.net/manga/11279/Oboreru_Kemono_no_Koibito, 710,"['Fjisaki, Ko']",Hanaoto, Manga," May  29, 2008",Oboreru Kemono no Koibito 
 Finished,"['Comedy', 'Fantasy', 'Yaoi']", 3, #4629," 7.21, "," 5
	"," 1
	", #7402,http://myanimelist.net/manga/11192/Wagamama_na_Jewel," 1,074","['Sachiyo, Sawachi']","
		None", Manga, 2008,Wagamama na Jewel 
 Publishing,"['Action', 'Fantasy']", 0, #29007," 0.00, "," Unknown
	"," Unknown
	", #22197,http://myanimelist.net/manga/78999/Quintet_Phantasm, 18,"['Wada, Rco', 'Higashide, Yichiro']","
		None", Novel," Aug  20, 2014 to ?",Quintet Phantasm 
 Publishing,"['Shojo', 'Military']", 0, #22314," 7.33, "," Unknown
	"," Unknown
	", #30603,http://myanimelist.net/manga/31889/H.A.B., 44,"['Konoe, Rin']",Asuka (Monthly), Manga, Nov 2011 to ?,H.A.B. 
 Finished,"
	  ", 1, #8845," 7.32, "," 4
	"," 1
	", #5950,http://myanimelist.net/manga/2488/Yakkai_na_Bokura, 446,"['Fwa, Shinri']","
		None", Manga, Not available,Yakkai na Bokura 
 Finished,"['Comedy', 'Romance', 'School']", 0, #30402," 6.00, "," 17
	"," 4
	", #22437,http://myanimelist.net/manga/78045/Quintet!, 15,"['Senm', 'Echigoya, Tessh']","
		None", Novel," May  15, 2007 to Nov  15, 2010",Quintet! 
 Finished,"
	  ", 0, #32009," 7.00, "," 1
	"," Unknown
	", #21200,http://myanimelist.net/manga/83059/Quintilis_no_Umi, 12,"['Narko, Hanahar']",Dengeki Daioh, One-shot," Jun  21, 2007",Quintilis no Umi 
 Finished,"['Action', 'Mystery', 'Police', 'Psychological']", 0, #34473," 5.50, "," Unknown
	"," 2
	", #20774,http://myanimelist.net/manga/84601/Quiz, 8,"['Iino, Yoko', 'Asada, Torao', 'Aichi, Mio', 'Seki, Erika']","
		None", Manga, Jul 2000 to Nov 2000,Quiz 
 Finished,"
	  ", 0, #16641," 6.61, "," 10
	"," 1
	", #25998,http://myanimelist.net/manga/63973/H.O.M.E:_Habitant_of_Melting_Ecstasy, 106,"['Yamazaki, Kazma']",Angel Club, Manga," May  30, 2012 to Sep  30, 2013",H.O.M.E: Habitant of Melting Ecstasy 
 Finished,"
	  ", 4, #13766," 6.68, "," 11
	"," 1
	", #14041,http://myanimelist.net/manga/9961/Ha-Ha, 179,"['Hiry, Ran']","
		None", Manga," Aug  5, 2004",Ha-Ha 
 Finished,"['Comedy', 'School', 'Slice of Life']", 7, #4503," 6.96, "," 15
	"," 2
	", #10754,http://myanimelist.net/manga/33281/A_Bias_Girl," 1,112","['Wie, Sng Soo', 'Kim, Soo Min']",Young Champ, Manhwa," Jun  1, 2011 to Feb  15, 2012",A Bias Girl 
 Finished,"['Comedy', 'Romance', 'Slice of Life']", 1, #20726," 8.00, "," 31
	"," 1
	", #20584,http://myanimelist.net/manga/85425/A_Bittersweet_Life, 55,"['Lee, Dong-Gn']",Naver Webtoon, Manhwa," Feb  26, 2013",A Bittersweet Life 
